bill_id,bill_title,chamber,committee,status,last_action_date,summary_text,url,keywords
H. Rept. 119-212,FY2026 Transportation HUD Appropriations - Port Infrastructure Development Program,U.S. House,Appropriations,Reported,2025-07-21,"Committee report includes FY2026 Port Infrastructure Development Program funding recommendations and describes eligibility for port authorities, states, local governments, and transportation entities.",https://www.congress.gov/committee-report/119th-congress/house-report/212/1,"appropriations, PIDP, port, infrastructure funding, cargo"
NY S10222,Relates to the organization of the Port Authority,New York Senate,"Corporations, Authorities And Commissions",In Committee,2026-05-07,"Active NY bill on Port Authority organization, appearance, notice, non-voting commissioners, capital planning, public hearings, and a Port Authority Transportation Advisory Committee.",https://www.nysenate.gov/legislation/bills/2025/S10222,"New York, New Jersey, PANYNJ, port authority, capital plan, governance, transportation"
NY A11291,Relates to the organization of the Port Authority,New York Assembly,"Corporations, Authorities And Commissions",In Committee,2026-05-15,"Assembly companion associated with NY S10222 addressing Port Authority organization, notice, capital planning, and bi-state oversight. Important for governance and planning workflows.",https://legislation.nysenate.gov/pdf/bills/2025/A11291,"New York, New Jersey, PANYNJ, port authority, capital plan, governance"
"NY A10056","Relates to Port Authority organization, appearance and notice",New York Assembly,"Corporations, Authorities And Commissions",In Committee,2026-01-30,"Active Assembly bill amending the Port Authority compact laws in relation to organization, appearance, notice, commissioner qualifications, and capital plan requirements.",https://www.nysenate.gov/legislation/bills/2025/A10056,"New York, New Jersey, PANYNJ, port authority, capital plan, governance"
"NY S6939","Collective employment negotiations, debt notice, and capital plans at PANYNJ",New York Senate,"Corporations, Authorities And Commissions",In Committee,2026-01-07,"Active NY bill requiring Port Authority legislative appearances, debt issuance notice, capital plan transparency, capital status hearings, and collective negotiation protections.",https://www.nysenate.gov/legislation/bills/2025/S6939,"New York, New Jersey, PANYNJ, port authority, capital plan, labor, debt"
NY A8889,Customer Savings and Reliability Act,New York Assembly,"Corporations, Authorities And Commissions",In Committee,2026-01-07,"Active NY utility transition bill with critical infrastructure and regional planning implications. Included as a lower-priority watch item because energy transition planning can affect large infrastructure operators.",https://www.nysenate.gov/legislation/bills/2025/A8889,"New York, infrastructure, critical infrastructure, energy transition, workforce"
"NJ S2098","PANYNJ restrictions on employment, gifts, compensation, and tuition reimbursement",New Jersey Senate,State Government,Prefiled / Introduced Pending Technical Review,2026-01-13,"New Jersey bill imposing restrictions on Port Authority commissioners, officers, and employees regarding travel, compensation, gifts, outside employment, toll/fare reimbursements, and tuition reimbursement.",https://pub.njleg.state.nj.us/Bills/2026/S2500/2098_I1.PDF,"New Jersey, PANYNJ, port authority, governance, workforce, compensation"
NJ A688,E-ZPass toll deduction for certain tolls paid,New Jersey Assembly,Transportation and Independent Authorities,Prefiled / Introduced Pending Technical Review,2026-01-13,"New Jersey bill providing a gross income tax deduction for certain E-ZPass tolls paid on toll roadways and interstate bridges/tunnels, including facilities operated by the Port Authority of New York and New Jersey.",https://pub.njleg.state.nj.us/Bills/2026/A1000/688_I1.HTM,"New Jersey, PANYNJ, toll, bridge, tunnel, transportation"
NJ S289,Port Authority of New York and New Jersey Cargo Facility Charge Act,New Jersey Senate,Transportation,Introduced,2020-01-14,"Establishes a Port Authority cargo facility charge framework for export and import cargo handled through PANYNJ-related facilities. Older but operationally relevant for cargo cost and facility policy monitoring.",https://pub.njleg.state.nj.us/Bills/2020/S0500/289_I1.HTM,"New Jersey, PANYNJ, cargo, freight, port, facility charge"
NJ S4670,Delaware River and Bay of New Jersey Authority and marine transportation updates,New Jersey Senate,Transportation,Introduced,2025-06-30,"New Jersey measure touching marine terminals, port facilities, commerce facilities, maritime industry, navigation channels, and the Marine Transportation System. Relevant as a statewide maritime infrastructure watch item.",https://pub.njleg.state.nj.us/Bills/2024/S5000/4670_I1.HTM,"New Jersey, maritime, marine terminal, port facilities, navigation, infrastructure"
NJ S3748,South Jersey Transportation Authority membership and transportation scope,New Jersey Senate,Transportation,Introduced,2026-03-16,"Adds Burlington County to SJTA and references regional transportation facilities including air freight and marine passenger infrastructure. Relevant for broader NJ transportation planning context.",https://pub.njleg.state.nj.us/Bills/2026/S4000/3748_I1.HTM,"New Jersey, transportation, air freight, marine, infrastructure"
NJ S1401,Public employee retirement system provisions including South Jersey Port employees,New Jersey Senate,State Government,Introduced,2024-01-09,"Includes provisions related to South Jersey Port Corporation employees and related Delaware River Port Authority entities. Included as a workforce and public employment watch item.",https://pub.njleg.state.nj.us/Bills/2024/S1500/1401_I1.HTM,"New Jersey, South Jersey Port, workforce, public employees, port authority"
